,,,,,,,,,
,std::vector,,,,,,,,
,count_elements,add_at_begin,add_at_middle,add_at_end,remove_at_begin,remove_at_middle,remove_at_end,modify_all_index,modify_parity_idx
,1000,0,0,0,0,0,0,0,0
,5000,5,4,1,4,3,0,0,0
,10000,13,10,2,14,8,0,0,0
,15000,21,8,1,27,7,0,0,0
,20000,23,12,2,19,10,0,0,0
,25000,37,19,2,31,15,0,0,0
,30000,52,27,3,44,22,0,0,0
,35000,71,36,3,60,30,0,0,0
,40000,92,47,4,77,39,0,0,0
,45000,116,59,4,97,50,0,0,0
,50000,147,73,5,122,61,0,0,0
,,,,,,,,,
,,,,,,,,,
,std::deque,,,,,,,,
,count_elements,add_at_begin,add_at_middle,add_at_end,remove_at_begin,remove_at_middle,remove_at_end,modify_all_index,modify_parity_idx
,1000,0,1,0,0,0,0,0,0
,5000,0,15,0,0,14,0,0,0
,10000,1,57,1,0,54,0,0,0
,15000,1,126,1,0,119,0,0,0
,20000,2,225,2,0,203,0,0,0
,25000,2,334,2,0,313,0,0,0
,30000,3,478,3,0,450,0,0,0
,35000,3,644,4,0,614,0,0,0
,40000,4,848,4,0,795,0,0,0
,45000,5,1068,5,0,1007,0,0,0
,50000,5,1308,5,0,1240,0,0,0
,,,,,,,,,
,,,,,,,,,
,std::list,,,,,,,,
,count_elements,add_at_begin,add_at_middle,add_at_end,remove_at_begin,remove_at_middle,remove_at_end,modify_all_index,modify_parity_idx
,1000,0,0,0,0,1,0,0,0
,5000,0,37,0,0,38,0,0,0
,10000,0,158,0,1,159,1,0,0
,15000,0,383,0,2,386,2,0,0
,20000,1,719,1,3,725,3,0,0
,25000,1,1172,1,3,1166,3,0,0
,30000,1,1731,1,4,1721,4,0,0
,35000,2,2391,2,5,2444,5,0,0
,40000,2,3525,2,6,3227,6,0,0
,45000,2,4298,2,7,4263,7,0,0
,50000,2,5880,3,8,5914,7,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,std::map,,,,std::unordered_map,,,
,,elements,access,modify,,elements,access,modify,
,,100,0,0,,100,0,0,
,,1000,0,0,,1000,0,0,
,,10000,0,8,,10000,0,8,
,,100000,0,98,,100000,0,98,
,,500000,0,549,,500000,0,549,
